Crop,Water_Requirement
cotton,high
flax,medium
hemp,medium
jute,high
sisal,medium
ramie,medium
sugarcane,high
rice,high
wheat,medium
maize,medium
barley,medium
oats,medium
rye,medium
sorghum,low
millet,low
soybean,medium
peanut,medium
chickpea,medium
lentil,low
pea,low
potato,medium
sweetpotato,medium
yam,medium
cassava,medium
carrot,medium
beetroot,medium
radish,low
turnip,low
onion,low
garlic,low
ginger,medium
turmeric,medium
tomato,medium
cucumber,medium
pumpkin,medium
squash,medium
zucchini,medium
lettuce,medium
spinach,medium
kale,medium
cabbage,medium
cauliflower,medium
broccoli,medium
brusselssprouts,medium
bellpepper,medium
chilipepper,medium
eggplant,medium
okra,medium
asparagus,medium
celery,medium
fennel,medium
leek,medium
cornsalad,medium
rhubarb,medium
endive,medium
chicory,medium
artichoke,medium
bean,medium
pea,low
lentil,low
chickpea,medium
soybean,medium
groundnut,medium
sunflower,medium
sesame,medium
cottonseed,high
coconut,high
flaxseed,medium
hempseed,medium
sunflowerseed,medium
rapeseed,medium
mustardseed,medium
linseed,medium
sesameseed,medium
cottonseed,high
cocoa,high
tea,high
coffee,high
rubber,high
tobacco,medium
silk,medium
wool,medium
#Fruits
apple,medium
banana,high
orange,high
mango,high
grapes,medium
pineapple,high
watermelon,high
strawberry,high
blueberry,high
raspberry,high
blackberry,high
cranberry,high
kiwi,medium
pear,medium
apricot,medium
plum,medium
peach,medium
avocado,medium
pomegranate,medium
guava,medium
passionfruit,medium
lychee,medium
dragonfruit,medium
jackfruit,high
papaya,high
olive,low
almond,medium
walnut,medium
cashew,medium
chestnut,medium
pistachio,medium
hazelnut,medium
pecan,medium
macadamia,medium
